Name,Projected Average Points (ROS)
Stephen Curry,54.8
Joel Embiid,52.400000000000006
Nikola Jokic,53.4
Anthony Davis,48.5
James Harden,54.400000000000006
Jimmy Butler,49.4
Kevin Durant,50.89999999999999
Karl-Anthony Towns,43.8
Kristaps Porzingis,40.300000000000004
Rudy Gobert,37.0
Jonas Valanciunas,39.6
Giannis Antetokounmpo,57.199999999999996
Al Horford,35.2
Damian Lillard,47.4
Jarrett Allen,34.7
Donovan Mitchell,42.6
Myles Turner,31.6
Fred VanVleet,43.8
LaMarcus Aldridge,32.800000000000004
Paul George,43.5
Jusuf Nurkic,36.1
LeBron James,48.0
Richaun Holmes,38.300000000000004
Nikola Vucevic,38.7
Nerlens Noel,27.099999999999998
Trae Young,46.900000000000006
Zach LaVine,41.6
Bobby Portis,28.899999999999995
Jayson Tatum,42.3
John Collins,38.599999999999994
Domantas Sabonis,44.29999999999999
Ivica Zubac,28.3
Khris Middleton,39.09999999999999
Bradley Beal,39.70000000000001
Jaren Jackson Jr.,36.4
Mikal Bridges,29.5
Chris Paul,41.6
Mike Conley,38.6
Tobias Harris,36.9
Evan Mobley,29.5
Brandon Ingram,40.1
Deandre Ayton,32.2
C.J. McCollum,42.2
Devin Booker,38.2
Gordon Hayward,34.9
Clint Capela,32.6
Malcolm Brogdon,38.00000000000001
Jarred Vanderbilt,25.799999999999997
Mitchell Robinson,24.999999999999996
Jaylen Brown,37.89999999999999
Luka Doncic,47.00000000000001
De'Aaron Fox,43.4
Tyrese Maxey,34.9
Harrison Barnes,33.800000000000004
Draymond Green,38.800000000000004
Miles Bridges,35.2
Tyrese Haliburton,35.9
Cade Cunningham,34.8
Jrue Holiday,39.300000000000004
Julius Randle,43.199999999999996
Pascal Siakam,39.6
D'Angelo Russell,40.4
Robert Williams,24.9
Kyle Lowry,33.7
Kevin Love,26.7
Marcus Smart,33.0
Jakob Poeltl,27.700000000000003
Lonzo Ball,36.900000000000006
Gary Trent Jr.,26.9
Seth Curry,28.599999999999994
Anthony Edwards,34.1
Naz Reid,26.9
Robert Covington,24.299999999999997
Christian Wood,33.5
Matisse Thybulle,23.200000000000003
Dejounte Murray,38.400000000000006
Russell Westbrook,43.3
Alex Caruso,27.9
Shai Gilgeous-Alexander,40.4
Bojan Bogdanovic,27.1
Steven Adams,24.700000000000003
Montrezl Harrell,33.10000000000001
Jordan Poole,28.200000000000006
Grayson Allen,25.9
Norman Powell,30.900000000000002
Cole Anthony,35.5
Scottie Barnes,31.200000000000003
Danny Green,22.1
Andrew Wiggins,31.0
Mohamed Bamba,31.600000000000005
Isaiah Stewart,21.0
Desmond Bane,25.5
Taj Gibson,19.1
Derrick White,31.199999999999992
Garrison Mathews,24.400000000000002
Franz Wagner,26.9
Derrick Rose,31.400000000000006
Tyler Herro,30.9
Joe Ingles,25.5
Pat Connaughton,23.3
Luke Kennard,23.4
Wendell Carter Jr.,31.3
Darius Garland,34.900000000000006
Alec Burks,25.5
Carmelo Anthony,26.5
Kemba Walker,29.799999999999997
Shake Milton,29.099999999999998
Evan Fournier,27.700000000000003
Dennis Schroder,31.9
Caris LeVert,33.400000000000006
Josh Hart,25.2
Devonte' Graham,32.699999999999996
Reggie Jackson,31.0
Hassan Whiteside,20.9
Aaron Gordon,29.1
Royce O'Neale,23.9
Nickeil Alexander-Walker,29.2
Luguentz Dort,26.700000000000006
Alperen Sengun,21.9
JaVale McGee,22.999999999999996
Cody Martin,24.0
Talen Horton-Tucker,26.900000000000002
Xavier Tillman,19.0
Herbert Jones,24.4
Will Barton,27.9
Buddy Hield,27.099999999999998
PJ Washington,27.699999999999996
Daniel Gafford,25.999999999999996
Markieff Morris,17.900000000000002
Jae Crowder,21.400000000000002
Patrick Beverley,25.099999999999998
Jordan Clarkson,28.799999999999997
Duncan Robinson,22.4
Saddiq Bey,25.900000000000002
Chris Duarte,26.200000000000003
Kentavious Caldwell-Pope,21.5
Dorian Finney-Smith,21.900000000000002
Dillon Brooks,24.799999999999997
Cody Zeller,19.1
Kyle Anderson,27.900000000000002
Lauri Markkanen,25.500000000000004
Bruce Brown Jr.,20.6
Derrick Favors,19.400000000000002
George Hill,21.999999999999996
Dwight Howard,18.400000000000002
Kevin Huerter,23.599999999999998
Jalen Brunson,30.7
Danilo Gallinari,20.900000000000002
Tim Hardaway Jr.,25.6
Kelly Oubre,26.300000000000004
Tony Bradley,17.4
Marcus Morris,23.1
Daniel Theis,25.200000000000003
Jalen Green,25.299999999999997
Robin Lopez,18.9
Jeff Green,20.599999999999998
Georges Niang,21.099999999999998
Monte Morris,25.400000000000002
Jae'Sean Tate,24.599999999999998
Ricky Rubio,29.699999999999996
DeAndre Jordan,17.799999999999997
De'Anthony Melton,29.1
Rudy Gay,21.800000000000004
Keldon Johnson,24.9
Terance Mann,20.999999999999996
Patrick Mills,21.000000000000004
Spencer Dinwiddie,26.3
RJ Barrett,26.8
Otto Porter,20.2
Doug McDermott,19.400000000000002
Devin Vassell,20.099999999999994
Cameron Johnson,18.599999999999998
Josh Giddey,29.2
Andre Iguodala,21.900000000000006
Dwight Powell,22.5
Josh Richardson,18.3
Killian Hayes,23.500000000000004
Serge Ibaka,16.7
Terrence Ross,21.9
Gary Harris,20.599999999999994
Malik Beasley,23.599999999999998
Cam Reddish,18.4
Kevin Porter Jr.,34.1
Davion Mitchell,24.900000000000002
Chuma Okeke,20.500000000000004
Immanuel Quickley,21.700000000000003
Avery Bradley,16.999999999999996
Furkan Korkmaz,20.5
Anfernee Simons,19.499999999999996
P.J. Tucker,16.7
Jeremy Lamb,18.8
Damion Lee,18.000000000000004
Eric Bledsoe,21.399999999999995
Tristan Thompson,15.8
Drew Eubanks,20.4
Cameron Payne,23.9
Jaden McDaniels,20.0
Nah'Shon Hyland,21.5
Cory Joseph,21.599999999999998
Enes Kanter,13.799999999999997
DeMarcus Cousins,14.7
Justin Holiday,17.0
Nassir Little,18.1
Jeremiah Robinson-Earl,21.800000000000004
Kyle Kuzma,26.5
Sviatoslav Mykhailiuk,17.5
Kent Bazemore,16.700000000000003
Chris Boucher,22.999999999999996
Lonnie Walker,18.299999999999997
Nick Richards,13.2
Eric Gordon,26.3
Ed Davis,12.2
Dewayne Dedmon,12.799999999999999
Isaiah Hartenstein,23.499999999999996
Grant Williams,16.700000000000003
Alex Len,13.699999999999998
Willy Hernangomez,15.1
Reggie Bullock,16.6
Damian Jones,14.7
Frank Jackson,19.400000000000002
Maxi Kleber,17.9
Isaac Okoro,18.4
Kenyon Martin Jr.,18.599999999999998
Vernon Carey Jr.,12.300000000000002
Jalen Smith,10.4
Maurice Harkless,14.4
Gorgui Dieng,13.200000000000003
Mike Muscala,13.5
Kevon Looney,18.900000000000002
Torrey Craig,15.500000000000004
Landry Shamet,17.3
Terence Davis II,18.599999999999998
Moses Brown,12.799999999999999
Deni Avdija,15.3
Luka Garza,12.100000000000001
Charles Bassey,12.2
Sandro Mamukelashvili,12.399999999999999
Andre Drummond,13.799999999999999
Larry Nance Jr.,18.600000000000005
Josh Jackson,20.4
Paul Millsap,10.3
Trey Lyles,19.2
Kenrich Williams,19.2
Darius Bazley,21.4
Wesley Matthews,14.099999999999998
Goga Bitadze,11.0
Nemanja Bjelica,20.2
Moritz Wagner,11.699999999999998
Precious Achiuwa,22.3
Willie Cauley-Stein,10.4
