Name,Team,Position,Total Points,Average Points
OG Anunoby,TOR,"SF, PF",540,36.0
Spencer Dinwiddie,WSH,"SG, PG",637,25.5
Kyle Kuzma,WSH,"PF, SF",760,27.1
Jordan Poole,GS,"SG, PG",811,29.0
Ben Simmons,PHI,PG,0,0.0
RJ Barrett,NY,"SF, SG",570,22.8
Nickeil Alexander-Walker,NO,SG,687,22.9
Kyrie Irving,BKN,"PG, SG",0,0.0
P.J. Washington,CHA,"PF, C",447,26.3
Seth Curry,PHI,"SG, PG",755,28.0
Tim Hardaway,DAL,"SG, SF",691,24.7
Ivica Zubac,LAC,C,728,25.1
Carmelo Anthony,LAL,"PF, SF",676,23.3
Kemba Walker,NY,PG,422,23.4
Jalen Green,HOU,SG,321,17.8
Mitchell Robinson,NY,C,639,24.6
Robert Covington,POR,"PF, SF",601,20.7
Eric Bledsoe,LAC,"PG, SG",660,22.8
Michael Porter,DEN,"SF, PF",183,20.3
Derrick Rose,NY,PG,659,25.3
Ricky Rubio,CLE,PG,831,27.7
Evan Fournier,NY,"SG, SF",589,20.3
Bogdan Bogdanovic,ATL,"SG, SF",452,22.6
Joe Ingles,UTAH,"SF, SG, PF",522,19.3
Saddiq Bey,DET,SF,614,22.7
Collin Sexton,CLE,"SG, PG",222,20.2
Lauri Markkanen,CLE,"PF, SF",530,25.2
Josh Giddey,OKC,"PG, SG",698,27.9
Andre Drummond,PHI,C,681,23.5
Jonathan Isaac,ORL,"PF, SF",0,0.0
Thaddeus Young,SA,"PF, SF, C",384,17.5
Marvin Bagley,SAC,PF,214,16.5
Jalen Brunson,DAL,PG,794,29.4
Steven Adams,MEM,C,662,22.8
Daniel Theis,HOU,"C, PF",360,18.0
Alex Caruso,CHI,"PG, SG",658,27.4
Donte DiVincenzo,MIL,"SG, PG",0,0.0
Brook Lopez,MIL,C,28,28.0
LaMarcus Aldridge,BKN,"PF, C",696,27.8
Malik Beasley,MIN,"SG, SF",513,18.3
Killian Hayes,DET,PG,407,18.5
Joe Harris,BKN,"SG, SF",274,19.6
T.J. McConnell,IND,PG,596,24.8
Kawhi Leonard,LAC,"SF, PF",0,0.0
Brandon Clarke,MEM,"PF, C",377,19.8
Luguentz Dort,OKC,"SG, SF",646,25.8
Jamal Murray,DEN,"PG, SG",0,0.0
Kyle Anderson,MEM,"SF, PF",578,23.1
Mason Plumlee,CHA,C,493,23.5
Chris Duarte,IND,SG,633,21.8
T.J. Warren,IND,SF,0,0.0
Alperen Sengun,HOU,C,623,22.3
Kelly Olynyk,DET,"C, PF",270,27.0
Thomas Bryant,WSH,C,0,0.0
Jae Crowder,PHX,"PF, SF",608,21.7
John Wall,HOU,PG,0,0.0
Duncan Robinson,MIA,"SG, SF",593,20.4
Kevin Huerter,ATL,"SG, SF",556,20.6
Kevin Love,CLE,PF,513,23.3
Grayson Allen,MIL,SG,669,23.1
James Wiseman,GS,C,0,0.0
Dorian Finney-Smith,DAL,"SF, PF",663,23.7
Marcus Morris,LAC,"PF, SF",299,23.0
Talen Horton-Tucker,LAL,"SG, SF",365,24.3
Eric Gordon,HOU,SG,556,23.2
De'Anthony Melton,MEM,"PG, SG",640,24.6
Royce O'Neale,UTAH,"SF, PF",635,25.4
Darius Bazley,OKC,"SF, PF",567,21.0
JaVale McGee,PHX,C,623,22.3
Patrick Beverley,MIN,PG,539,27.0
