Name,Projected Avg Pts (ROS)
Stephen Curry,54.8
Joel Embiid,52.50000000000001
Nikola Jokic,53.4
Anthony Davis,48.5
James Harden,54.400000000000006
Jimmy Butler,49.4
Karl-Anthony Towns,43.8
Kristaps Porzingis,40.300000000000004
Kevin Durant,51.099999999999994
Rudy Gobert,37.0
Jonas Valanciunas,39.6
Giannis Antetokounmpo,57.199999999999996
Al Horford,35.2
Jarrett Allen,34.7
Damian Lillard,47.4
Donovan Mitchell,42.6
LaMarcus Aldridge,32.800000000000004
Paul George,43.5
Jusuf Nurkic,36.1
Fred VanVleet,43.8
Myles Turner,31.9
LeBron James,48.0
Nikola Vucevic,38.7
Richaun Holmes,38.300000000000004
Trae Young,46.900000000000006
Nerlens Noel,27.3
Zach LaVine,41.6
Bobby Portis,28.899999999999995
Jayson Tatum,42.3
Ivica Zubac,28.3
John Collins,38.599999999999994
Khris Middleton,39.09999999999999
Jaren Jackson Jr.,36.4
Bradley Beal,39.6
Domantas Sabonis,44.4
Mikal Bridges,29.599999999999994
Mike Conley,38.6
Tobias Harris,37.5
Evan Mobley,29.5
C.J. McCollum,42.2
Devin Booker,38.2
Brandon Ingram,40.1
Chris Paul,41.6
Clint Capela,32.6
Malcolm Brogdon,38.00000000000001
Deandre Ayton,32.0
Gordon Hayward,34.9
Jarred Vanderbilt,25.799999999999997
Jaylen Brown,37.89999999999999
Mitchell Robinson,24.7
Luka Doncic,47.00000000000001
Tyrese Maxey,34.9
Harrison Barnes,33.800000000000004
De'Aaron Fox,43.4
Draymond Green,38.800000000000004
Miles Bridges,35.2
Jrue Holiday,39.300000000000004
Robert Williams,24.9
Tyrese Haliburton,35.9
Pascal Siakam,39.6
D'Angelo Russell,40.4
Gary Trent Jr.,26.9
Cade Cunningham,35.0
Kevin Love,26.7
Julius Randle,43.3
Jakob Poeltl,27.700000000000003
Anthony Edwards,34.1
Kyle Lowry,33.7
Marcus Smart,33.0
Lonzo Ball,36.900000000000006
Naz Reid,26.9
Robert Covington,24.299999999999997
Christian Wood,33.5
