Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,28,MEM,31,31,25.5,2.6,5.0,.532,0.0,0.0,,2.6,5.0,.532,.532,1.9,3.0,.617,3.9,4.9,8.9,2.7,1.0,0.6,1.7,1.6,7.2
Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Santi Aldama,PF,21,MEM,16,0,9.8,1.5,4.1,.364,0.2,1.7,.111,1.3,2.4,.538,.386,0.4,0.8,.583,1.0,1.6,2.6,0.8,0.1,0.2,0.3,1.1,3.6
LaMarcus Aldridge,C,36,BRK,25,8,23.6,6.0,10.4,.573,0.4,1.2,.367,5.5,9.2,.600,.594,1.6,1.9,.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14.0
Nickeil Alexander-Walker,SG,23,NOP,31,18,28.3,5.0,13.9,.363,2.0,6.7,.304,3.0,7.2,.417,.436,1.3,1.8,.732,1.0,2.8,3.8,2.6,1.0,0.4,1.5,1.9,13.4
Grayson Allen,SG,26,MIL,30,30,29.2,4.5,10.3,.437,3.0,7.2,.417,1.5,3.1,.484,.583,1.1,1.2,.865,0.5,3.1,3.6,1.2,0.8,0.4,0.7,1.5,13.1
Jarrett Allen,C,23,CLE,28,28,32.6,6.8,9.7,.702,0.0,0.2,.167,6.8,9.5,.714,.704,3.1,4.3,.719,3.3,7.5,10.8,2.0,0.9,1.4,2.0,1.9,16.8
Jose Alvarado,PG,23,NOP,8,0,5.1,0.6,1.6,.385,0.3,0.6,.400,0.4,1.0,.375,.462,0.3,0.4,.667,0.3,0.4,0.6,1.1,0.5,0.0,0.1,0.4,1.8
Kyle Anderson,PF,28,MEM,27,3,22.0,3.3,7.6,.431,0.8,2.1,.362,2.5,5.4,.459,.483,1.1,1.7,.638,0.9,4.5,5.4,2.6,1.2,0.6,1.0,1.4,8.4
Giannis Antetokounmpo,PF,27,MIL,26,26,32.7,9.5,18.0,.529,1.1,3.8,.280,8.5,14.2,.596,.559,6.9,10.1,.681,2.0,9.5,11.6,5.8,1.1,1.6,3.3,3.0,27.0
Thanasis Antetokounmpo,SF,29,MIL,23,5,13.3,1.5,3.2,.479,0.0,0.3,.125,1.5,2.8,.523,.486,0.6,1.0,.591,1.1,2.0,3.1,0.8,0.5,0.2,0.7,1.8,3.7
Carmelo Anthony,PF,37,LAL,31,3,27.6,4.5,10.6,.424,2.5,6.1,.404,2.1,4.6,.451,.539,2.0,2.4,.824,0.7,3.3,4.0,1.0,0.7,0.7,0.8,2.3,13.5
Cole Anthony,PG,21,ORL,23,23,34.1,6.9,16.5,.417,2.8,7.6,.366,4.1,8.9,.461,.501,3.3,3.8,.875,0.6,5.5,6.1,5.6,0.8,0.2,3.0,2.5,19.9
OG Anunoby,SF,24,TOR,16,16,36.8,7.3,17.1,.429,2.6,7.2,.357,4.8,9.9,.481,.504,2.1,2.6,.810,1.5,3.8,5.3,2.7,1.5,0.6,1.6,2.8,19.3
Trevor Ariza,SF,36,LAL,1,0,15.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
D.J. Augustin,PG,34,HOU,26,2,14.5,1.6,3.7,.427,1.1,2.5,.431,0.5,1.2,.419,.573,0.8,1.0,.880,0.2,0.9,1.0,2.5,0.3,0.0,1.3,0.6,5.1
Deni Avdija,SF,21,WAS,31,2,21.7,2.5,5.6,.446,0.8,2.6,.325,1.7,3.1,.547,.520,0.9,1.3,.700,0.8,4.1,4.9,1.3,0.7,0.7,0.7,2.1,6.8
Joel Ayayi,SG,21,WAS,5,0,2.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,C,23,PHO,21,21,30.9,7.4,12.0,.617,0.0,0.3,.167,7.4,11.8,.628,.619,1.9,2.8,.661,2.9,8.4,11.3,1.6,0.8,0.8,1.8,2.2,16.8
Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
Marvin Bagley III,PF,22,SAC,13,1,19.6,3.2,6.6,.477,0.6,2.2,.286,2.5,4.5,.569,.523,1.2,1.8,.652,2.2,4.5,6.7,0.6,0.2,0.3,0.5,1.2,8.1
