Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
LeBron James," PG,SG,SF,PF",LAL ,Healthy,27.7,10.3,4.3,1.3,1.3,.547,.800,1.7,3.3,3,36.3,6.7,8.0,3.80,3.7
Donovan Mitchell," PG,SG",UTH ,Healthy,26.7,4.7,5.0,0.3,1.0,.427,.765,3.0,3.0,3,33.8,4.3,6.7,6.00,1.7
Dillon Brooks," SG,SF",MEM ,Healthy,26.3,3.7,2.3,0.0,1.0,.456,.909,2.3,1.0,3,34.5,3.3,8.0,3.00,3.3
Karl-Anthony Towns, C,MIN ,Healthy,26.0,10.3,5.7,1.7,0.7,.531,.870,2.0,3.7,3,34.5,6.7,6.7,4.90,4.0
Max Strus," SG,SF",MIA ,Healthy,24.7,6.0,2.0,0.0,0.3,.544,.727,5.3,0.3,3,34.5,2.7,3.0,1.00,2.3
Jaylen Brown," SG,SF",BOS ,Healthy,24.3,6.0,3.7,0.0,1.7,.424,.688,4.0,4.0,3,33.4,3.7,4.3,3.00,2.7
Tyrese Haliburton," PG,SG",SAC ,Healthy,24.0,4.7,10.7,0.3,1.7,.547,.857,2.7,3.7,3,38.7,2.0,7.0,9.20,2.3
Jayson Tatum," SF,PF",BOS ,Healthy,23.0,8.7,4.7,0.7,1.0,.404,.895,2.0,3.3,3,39.1,5.7,5.7,7.70,2.7
Dejounte Murray," PG,SG",SAS ,Healthy,21.7,9.7,11.0,0.3,2.7,.491,.600,1.7,2.0,3,34.3,2.0,7.3,16.50,1.7
Saddiq Bey, SF,DET ,Healthy,21.3,5.0,2.7,0.3,0.7,.438,.929,3.0,0.7,3,36.7,4.3,4.0,1.50,1.7
DeMar DeRozan," SF,PF,SG",CHI ,Healthy,32.0,3.5,6.0,0.0,0.5,.524,.952,0.0,1.5,2,33.3,10.0,11.0,2.00,1.5
Buddy Hield," SG,SF",SAC ,Healthy,20.7,3.0,2.3,0.0,2.7,.488,1.000,5.7,3.0,3,38.7,1.0,1.3,4.70,3.0
Miles Bridges," SF,PF",CHA ,Healthy,20.3,7.3,5.0,0.7,1.3,.500,1.000,1.3,2.7,3,35.8,3.0,6.7,6.30,1.0
Stephen Curry," PG,SG",GSW ,Healthy,30.0,4.0,4.0,1.0,0.5,.438,.900,4.5,5.0,2,35.7,4.5,6.0,1.70,3.5
Norman Powell," SG,SF",POR ,Healthy,19.3,3.3,3.7,0.7,0.7,.467,.714,3.7,2.7,3,39.0,1.7,3.3,6.80,2.7
Desmond Bane," PG,SG,SF",MEM ,Healthy,19.3,3.7,1.7,0.3,1.0,.479,1.000,3.3,1.3,3,31.8,0.7,4.3,4.50,1.7
LaMelo Ball," PG,SG",CHA ,Healthy,19.0,6.7,7.7,0.7,1.0,.429,1.000,2.3,2.7,3,28.7,2.7,4.7,8.80,4.0
Bojan Bogdanovic," SF,PF",UTH ,Healthy,19.0,3.0,1.0,0.0,0.3,.476,.667,3.0,1.7,3,30.0,2.7,3.7,3.00,3.3
Russell Westbrook, PG,LAL ,Healthy,18.7,7.7,5.3,1.0,1.3,.500,.476,0.0,4.7,3,34.4,3.3,7.7,5.00,3.3
Evan Fournier," SG,SF",NYK ,Healthy,27.0,3.5,3.0,1.0,1.5,.458,1.000,4.0,2.5,2,41.8,1.0,7.0,3.80,2.5
D'Angelo Russell," PG,SG",MIN ,Healthy,17.7,2.0,7.0,0.0,1.3,.367,.750,2.7,2.7,3,32.6,3.0,3.3,8.50,2.3
Harrison Barnes," SF,PF",SAC ,Healthy,17.7,5.7,3.3,0.0,0.3,.395,.833,2.7,0.7,3,37.9,5.0,2.3,7.00,0.7
Malik Beasley," PG,SG,SF",MIN ,Healthy,17.3,2.7,3.7,0.0,1.0,.413,.500,4.3,1.7,3,32.5,0.3,2.0,4.50,2.0
Keldon Johnson," SF,PF",SAS ,Healthy,17.3,10.3,1.3,0.0,1.0,.500,.800,2.7,1.7,3,31.6,1.3,4.0,3.00,1.3
Brandon Ingram," SF,PF",NOR ,Healthy,25.0,6.5,6.5,0.0,1.5,.474,.643,2.5,3.0,2,40.1,4.5,6.5,4.40,0.5
Rudy Gobert, C,UTH ,Healthy,16.7,18.0,1.7,3.0,0.3,.591,.800,0.0,2.7,3,35.6,8.0,4.3,0.80,2.3
Kemba Walker, PG,NYK ,Healthy,25.0,7.0,4.0,0.0,0.5,.390,.833,4.0,1.5,2,38.7,5.0,4.0,5.50,3.5
Gabe Vincent," PG,SG",MIA ,Healthy,16.0,2.7,3.7,0.7,1.0,.409,.667,2.7,2.3,3,33.3,1.3,3.3,7.00,2.7
Jaren Jackson," PF,C",MEM ,Healthy,15.7,4.7,1.0,1.0,1.0,.389,.941,1.0,2.7,3,27.2,5.3,3.7,1.20,4.7
Jalen Brunson," PG,SG",DAL ,Healthy,23.0,2.0,8.5,0.5,1.5,.516,.750,2.5,3.5,2,39.4,4.5,5.5,5.20,4.0
