Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Stephen Curry," PG,SG",GSW ,Healthy,34.0,4.0,4.7,0.3,1.7,.446,.929,6.0,3.3,3,37.9,8.7,3.7,8.00,2.3
Joel Embiid," PF,C",PHI ,Healthy,31.7,11.3,2.3,1.7,0.7,.580,.886,2.0,1.7,3,33.4,10.3,7.7,4.00,1.3
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,31.0,4.7,5.7,1.3,0.3,.469,.784,1.3,2.3,3,36.4,9.7,8.7,11.40,3.0
Nikola Jokic," PF,C",DEN ,Healthy,25.7,20.3,6.0,1.0,2.3,.390,.833,0.7,6.0,3,36.0,5.0,9.3,3.40,2.0
James Harden," PG,SG",BKN ,Healthy,37.5,9.0,12.5,1.5,1.5,.500,.818,3.5,3.5,2,39.5,9.0,9.0,7.50,4.5
Devin Booker," SG,SF,PG",PHO ,Healthy,24.3,4.0,4.7,1.0,2.0,.436,.846,2.7,2.3,3,37.5,3.7,6.3,6.30,2.0
Desmond Bane," PG,SG,SF",MEM ,Healthy,24.0,4.0,2.0,0.7,1.3,.519,1.000,4.3,1.7,3,33.0,1.7,4.7,4.00,3.3
Ja Morant, PG,MEM ,Healthy,24.0,4.7,6.3,0.0,1.0,.483,.813,1.0,3.0,3,31.7,4.3,8.3,6.30,1.3
Franz Wagner," SG,SF",ORL ,Healthy,23.7,4.7,1.7,1.0,1.0,.489,.905,2.0,2.0,3,34.7,6.3,5.7,2.80,2.0
Malik Beasley," PG,SG,SF",MIN ,Healthy,22.7,6.0,1.3,0.0,0.7,.409,.000,4.7,1.3,3,40.7,0.0,4.3,1.50,1.3
Russell Westbrook, PG,LAL ,Healthy,22.3,10.3,8.3,0.0,1.3,.456,.571,1.0,5.0,3,35.6,4.0,7.7,5.90,3.0
Khris Middleton," SF,PF,SG",MIL ,Healthy,21.3,3.3,5.7,0.3,1.0,.512,.824,2.7,4.3,3,32.9,4.7,4.3,4.00,1.7
Giannis Antetokounmpo," PF,C",MIL ,Healthy,32.0,9.0,5.5,1.5,0.0,.548,.680,0.5,2.0,2,29.7,8.5,11.0,5.50,4.5
Kemba Walker, PG,NYK ,Healthy,21.3,7.7,7.3,0.0,0.0,.400,.923,4.0,1.0,3,38.9,4.0,2.7,13.00,0.7
Tyler Herro," PG,SG",MIA ,Healthy,21.0,4.0,5.0,0.0,0.7,.467,.867,2.7,1.7,3,29.6,4.3,4.3,9.50,1.7
Bojan Bogdanovic," SF,PF",UTH ,Healthy,20.7,3.0,1.0,0.0,0.7,.550,.692,3.0,3.3,3,27.9,3.0,4.3,0.80,2.7
Zach LaVine," SG,SF",CHI ,Healthy,31.0,4.0,7.0,0.5,1.0,.575,.750,5.0,3.0,2,35.2,3.0,6.5,5.80,1.5
Spencer Dinwiddie," PG,SG",WAS ,Healthy,20.7,5.7,9.7,0.3,0.3,.488,.500,3.0,2.3,3,37.1,3.7,4.0,12.70,2.3
Kristaps Porzingis," PF,C",DAL ,Healthy,30.5,9.0,4.0,2.0,1.5,.513,.818,1.5,1.5,2,33.2,9.0,8.5,1.00,2.0
Cam Reddish," SG,SF",ATL ,Healthy,20.3,3.7,2.0,0.7,1.0,.431,1.000,3.0,2.7,3,34.0,2.7,4.3,3.00,1.3
Donovan Mitchell," PG,SG",UTH , OUT ,30.5,4.0,5.0,0.5,1.5,.457,.933,2.5,3.0,2,36.1,7.0,8.0,3.30,2.5
Julius Randle," PF,C",NYK ,Healthy,20.3,12.0,2.3,0.7,0.3,.421,.546,2.3,3.7,3,35.8,2.0,5.7,2.00,2.3
Jalen Brunson," PG,SG",DAL ,Healthy,20.0,3.3,7.7,0.0,1.0,.442,.769,1.3,1.3,3,34.5,3.3,6.3,19.00,2.0
