Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,28,MEM,37,37,25.5,2.7,5.0,.532,0.0,0.0,,2.7,5.0,.532,.532,1.8,2.9,.617,4.2,4.9,9.1,2.9,0.9,0.6,1.6,1.7,7.1
Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Santi Aldama,PF,21,MEM,17,0,9.9,1.5,4.0,.368,0.2,1.7,.138,1.2,2.3,.538,.397,0.4,0.7,.583,1.0,1.6,2.6,0.7,0.1,0.2,0.4,1.1,3.6
LaMarcus Aldridge,C,36,BRK,27,10,23.6,5.9,10.5,.558,0.4,1.3,.343,5.4,9.2,.589,.580,1.6,1.9,.843,1.6,4.3,5.9,0.9,0.4,1.1,0.9,1.7,13.7
Nickeil Alexander-Walker,SG,23,NOP,33,18,28.2,5.2,14.0,.368,2.2,6.9,.319,2.9,7.1,.416,.447,1.3,1.8,.717,1.0,2.8,3.8,2.6,0.9,0.3,1.6,1.9,13.8
Grayson Allen,SG,26,MIL,35,34,28.5,4.1,9.8,.422,2.8,7.0,.398,1.4,2.9,.480,.563,1.0,1.2,.854,0.4,2.9,3.3,1.3,0.7,0.4,0.6,1.5,12.1
Jarrett Allen,C,23,CLE,29,29,32.8,6.9,9.8,.707,0.0,0.2,.167,6.9,9.6,.718,.708,3.1,4.4,.703,3.3,7.4,10.7,1.9,0.9,1.4,1.9,1.8,16.9
Jose Alvarado,PG,23,NOP,9,0,4.8,0.6,1.6,.357,0.2,0.7,.333,0.3,0.9,.375,.429,0.2,0.3,.667,0.2,0.3,0.6,1.0,0.4,0.0,0.2,0.3,1.6
Justin Anderson,G,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
Kyle Anderson,PF,28,MEM,33,5,22.4,3.2,7.3,.432,0.7,2.1,.353,2.4,5.2,.462,.481,1.1,1.6,.660,0.8,4.4,5.3,2.5,1.0,0.5,1.0,1.5,8.1
Giannis Antetokounmpo,PF,27,MIL,30,30,32.4,9.9,18.4,.537,1.1,3.8,.281,8.8,14.6,.604,.566,7.0,10.2,.690,2.0,9.6,11.6,5.9,1.1,1.5,3.3,3.2,27.8
Thanasis Antetokounmpo,SF,29,MIL,25,5,12.6,1.4,3.0,.474,0.0,0.4,.111,1.4,2.7,.522,.480,0.5,0.9,.591,1.1,1.9,3.0,0.8,0.5,0.2,0.7,1.9,3.4
Carmelo Anthony,PF,37,LAL,37,3,27.3,4.5,10.7,.423,2.4,6.1,.392,2.1,4.6,.465,.535,1.9,2.4,.795,0.9,3.4,4.3,1.0,0.7,0.8,0.9,2.4,13.4
Cole Anthony,PG,21,ORL,24,24,34.2,6.9,16.5,.418,2.7,7.5,.354,4.2,8.9,.472,.499,3.5,4.0,.876,0.5,5.5,6.0,5.8,0.8,0.2,2.9,2.5,20.0
OG Anunoby,SF,24,TOR,17,17,36.7,7.4,17.0,.433,2.6,7.2,.361,4.8,9.8,.485,.509,2.4,2.9,.820,1.6,3.7,5.3,2.5,1.6,0.5,1.6,2.8,19.7
Trevor Ariza,SF,36,LAL,3,0,19.3,2.0,2.7,.750,1.7,2.3,.714,0.3,0.3,1.000,1.063,0.3,0.7,.500,0.0,3.3,3.3,1.3,0.3,0.0,0.0,1.0,6.0
D.J. Augustin,PG,34,HOU,29,2,14.9,1.7,3.9,.421,1.1,2.8,.413,0.5,1.2,.441,.566,1.0,1.1,.906,0.2,0.9,1.1,2.3,0.3,0.0,1.3,0.6,5.4
Deni Avdija,SF,21,WAS,36,3,22.8,2.7,6.1,.450,0.9,2.8,.310,1.9,3.3,.568,.521,1.0,1.4,.692,0.8,4.3,5.1,1.4,0.7,0.8,0.8,2.3,7.3
Joel Ayayi,SG,21,WAS,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
Deandre Ayton,C,23,PHO,24,24,30.7,7.5,12.0,.626,0.0,0.3,.143,7.5,11.8,.638,.628,1.9,2.8,.662,2.9,8.2,11.1,1.6,0.8,0.8,1.8,2.2,17.0
Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
Marvin Bagley III,PF,22,SAC,17,4,20.4,3.3,7.1,.463,0.6,2.4,.250,2.7,4.8,.568,.504,1.2,1.8,.700,2.1,4.5,6.6,0.7,0.3,0.2,0.5,1.5,8.4
LaMelo Ball,PG,20,CHO,30,30,32.3,7.1,16.7,.427,2.8,7.1,.390,4.4,9.6,.455,.510,2.7,2.9,.909,1.7,5.9,7.6,8.0,1.9,0.4,3.1,3.2,19.7
Lonzo Ball,PG,24,CHI,29,29,35.6,4.8,11.4,.418,3.1,7.4,.419,1.7,4.0,.417,.555,0.6,0.8,.773,1.0,4.4,5.4,5.0,1.8,1.0,2.4,2.4,13.2
Mo Bamba,C,23,ORL,27,27,28.7,4.2,9.1,.457,1.3,4.0,.324,2.9,5.1,.561,.528,0.7,0.9,.720,2.3,6.3,8.6,1.7,0.8,2.2,1.4,2.6,10.3
Desmond Bane,SF,23,MEM,37,37,29.7,6.6,14.1,.465,2.8,6.8,.413,3.8,7.3,.513,.564,1.3,1.4,.923,0.5,3.9,4.3,2.2,1.0,0.5,1.4,2.5,17.2
Dalano Banton,SF,22,TOR,29,1,12.7,1.6,3.8,.431,0.2,0.9,.280,1.4,2.9,.476,.463,0.6,0.8,.750,0.7,1.6,2.3,1.9,0.4,0.2,1.1,1.4,4.1
Cat Barber,G,27,ATL,3,0,4.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
Harrison Barnes,PF,29,SAC,32,32,33.8,5.2,11.6,.446,2.1,5.0,.413,3.1,6.6,.472,.535,4.6,5.4,.839,1.3,4.9,6.2,2.3,0.8,0.2,1.8,1.2,17.0
Scottie Barnes,PF,20,TOR,27,27,36.0,6.3,12.7,.494,0.8,2.2,.356,5.5,10.6,.523,.525,2.3,3.1,.726,3.0,5.3,8.3,3.4,1.1,1.0,1.9,2.9,15.6
RJ Barrett,SF,21,NYK,29,29,30.9,5.4,13.4,.400,1.8,5.4,.325,3.6,8.0,.451,.465,2.5,3.6,.702,0.7,4.8,5.6,2.2,0.4,0.3,1.8,2.0,15.0
Will Barton,SG,31,DEN,30,30,32.7,5.9,13.7,.430,2.4,6.5,.364,3.5,7.2,.488,.516,1.1,1.4,.762,0.7,4.5,5.2,4.1,0.9,0.5,1.8,1.4,15.2
Charles Bassey,PF,21,PHI,15,0,9.0,1.5,2.3,.676,0.0,0.2,.000,1.5,2.1,.742,.676,0.5,0.7,.727,1.1,2.3,3.4,0.4,0.2,0.9,0.5,1.5,3.6
Keita Bates-Diop,SF,26,SAS,27,8,15.1,2.0,3.8,.539,0.3,0.8,.318,1.8,3.0,.600,.574,0.8,1.2,.656,0.9,2.9,3.8,0.6,0.5,0.4,0.7,1.0,5.1
Nicolas Batum,PF,33,LAC,19,16,26.0,3.1,6.3,.496,1.9,4.8,.402,1.2,1.4,.815,.651,0.3,0.5,.500,0.4,4.1,4.5,1.5,1.1,0.7,0.9,1.1,8.4
Kent Bazemore,SF,32,LAL,22,14,18.1,1.5,4.5,.337,0.8,2.4,.340,0.7,2.0,.333,.429,0.5,0.6,.769,0.3,1.8,2.0,0.9,0.9,0.3,0.4,2.3,4.3
Darius Bazley,PF,21,OKC,31,27,26.9,3.4,8.6,.388,1.0,3.5,.290,2.4,5.2,.453,.446,1.2,1.9,.610,1.0,5.4,6.5,1.2,0.8,1.3,1.4,0.9,8.9
Bradley Beal,SG,28,WAS,30,30,36.0,9.1,19.9,.458,1.5,5.4,.280,7.6,14.5,.524,.496,3.9,4.7,.824,1.0,3.6,4.6,6.4,0.9,0.3,3.3,2.3,23.6
Malik Beasley,SG,25,MIN,35,7,27.7,4.6,12.2,.379,3.1,8.9,.345,1.6,3.3,.470,.505,0.5,0.7,.720,0.4,3.0,3.4,1.7,0.6,0.1,0.9,1.3,12.8
DeAndre' Bembry,SF,27,BRK,30,13,20.3,2.6,4.4,.579,0.4,0.9,.462,2.2,3.6,.607,.624,0.4,0.8,.542,0.7,2.6,3.3,1.3,0.9,0.6,0.7,2.3,6.0
Dāvis Bertāns,PF,29,WAS,24,0,16.3,2.0,5.6,.358,1.5,4.6,.327,0.5,1.0,.500,.493,1.0,1.1,.923,0.2,1.5,1.8,0.5,0.4,0.1,0.4,1.7,6.5
Patrick Beverley,PG,33,MIN,24,20,26.8,3.2,7.5,.425,1.2,3.8,.315,2.0,3.6,.540,.506,1.0,1.6,.658,1.2,3.3,4.5,4.9,1.0,0.9,1.1,3.0,8.6
Saddiq Bey,SF,22,DET,34,34,33.6,5.0,13.6,.369,2.1,6.8,.310,2.9,6.8,.427,.446,2.5,3.0,.835,1.6,4.9,6.5,2.5,1.0,0.2,1.6,1.9,14.7
Khem Birch,C,29,TOR,16,4,22.8,2.7,5.3,.512,0.0,0.4,.000,2.7,4.9,.551,.512,1.5,2.1,.727,3.1,2.6,5.6,1.3,0.9,0.4,0.6,1.8,6.9
Goga Bitadze,C,22,IND,21,0,8.1,0.9,2.8,.322,0.2,1.3,.143,0.7,1.5,.484,.356,0.5,0.9,.611,1.0,1.2,2.2,0.1,0.5,0.5,0.4,1.5,2.5
Nemanja Bjelica,C,33,GSW,35,0,15.1,2.4,5.3,.457,1.0,2.5,.391,1.4,2.8,.515,.549,0.9,1.3,.674,0.9,3.1,4.0,1.6,0.6,0.3,1.1,1.6,6.7
Eric Bledsoe,PG,32,LAC,37,27,26.8,3.9,9.1,.433,1.1,3.1,.339,2.9,5.9,.482,.491,1.8,2.3,.798,0.6,3.1,3.7,4.1,1.4,0.4,2.2,1.7,10.7
Keljin Blevins,SF,26,POR,3,0,4.7,0.7,1.3,.500,0.7,1.0,.667,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.0,2.0
Bogdan Bogdanović,SG,29,ATL,24,22,28.8,4.3,10.5,.413,2.1,5.9,.362,2.2,4.6,.477,.514,0.9,1.2,.759,0.3,3.3,3.6,2.5,0.7,0.2,0.9,1.9,11.7
Bojan Bogdanović,PF,32,UTA,36,36,29.8,6.0,12.5,.479,2.7,6.3,.425,3.3,6.2,.534,.586,3.1,3.5,.873,0.8,3.1,3.9,1.6,0.5,0.0,1.7,1.6,17.7
Bol Bol,PF,22,DEN,12,0,5.9,1.0,1.9,.522,0.0,0.3,.000,1.0,1.7,.600,.522,0.2,0.4,.400,0.3,1.2,1.4,0.4,0.1,0.2,0.1,0.3,2.2
Leandro Bolmaro,SF,21,MIN,22,2,8.2,0.4,1.4,.290,0.1,0.5,.182,0.3,0.9,.350,.323,0.4,0.4,.889,0.7,0.9,1.5,0.5,0.2,0.0,0.5,0.9,1.3
Isaac Bonga,SF,22,TOR,11,0,5.4,0.3,1.1,.250,0.1,0.3,.333,0.2,0.8,.222,.292,0.4,0.5,.667,0.4,0.2,0.5,0.3,0.5,0.2,0.2,0.9,1.0
Devin Booker,SG,25,PHO,28,28,32.9,8.6,19.1,.448,2.7,6.4,.421,5.9,12.8,.461,.518,3.8,4.4,.862,0.8,4.3,5.1,4.6,1.0,0.4,2.6,2.3,23.6
Brandon Boston Jr.,SG,20,LAC,21,0,14.9,2.2,6.1,.364,0.7,2.4,.300,1.5,3.8,.405,.422,1.2,1.5,.839,0.2,1.6,1.9,0.7,0.6,0.2,0.8,0.8,6.4
Chris Boucher,PF,29,TOR,30,7,17.2,3.1,7.1,.439,0.7,2.9,.250,2.4,4.1,.573,.491,1.6,2.1,.758,1.8,3.4,5.2,0.4,0.5,0.9,0.8,1.8,8.5
James Bouknight,SG,21,CHO,16,0,8.2,1.4,3.8,.367,0.7,1.6,.423,0.7,2.1,.324,.458,0.5,0.6,.800,0.8,0.8,1.6,0.6,0.1,0.0,0.3,0.7,3.9
Avery Bradley,SG,31,LAL,29,24,23.7,2.4,5.8,.411,1.3,3.3,.396,1.1,2.5,.431,.524,0.1,0.1,1.000,0.5,2.0,2.4,0.7,0.9,0.2,0.5,1.8,6.1
Tony Bradley,C,24,CHI,23,7,12.7,1.7,3.0,.574,0.0,0.0,,1.7,3.0,.574,.574,0.3,0.4,.778,1.5,2.9,4.4,0.6,0.2,0.6,0.7,1.3,3.7
Ignas Brazdeikis,SF,23,ORL,15,0,9.1,0.8,2.5,.316,0.3,1.4,.190,0.5,1.1,.471,.368,0.3,0.4,.833,0.4,1.0,1.4,0.5,0.2,0.0,0.3,1.1,2.2
Mikal Bridges,SF,25,PHO,35,35,33.9,4.7,9.2,.514,1.3,3.4,.390,3.4,5.9,.585,.585,1.1,1.3,.867,0.9,3.1,4.1,1.8,1.3,0.5,0.7,2.0,11.9
Miles Bridges,PF,23,CHO,34,34,36.2,7.4,15.6,.472,1.9,6.1,.314,5.5,9.6,.572,.533,3.1,3.9,.776,1.3,5.9,7.2,3.7,1.1,0.8,1.9,2.5,19.7
Oshae Brissett,SF,23,IND,25,1,17.6,2.4,5.2,.466,0.9,2.4,.373,1.6,2.9,.542,.550,0.4,0.9,.478,1.2,2.5,3.6,0.8,0.6,0.3,0.7,1.3,6.2
Malcolm Brogdon,PG,29,IND,26,26,34.3,6.7,15.0,.446,1.8,5.7,.311,4.9,9.3,.529,.505,3.8,4.5,.855,0.9,4.4,5.3,6.1,0.9,0.4,2.2,2.1,19.0
Armoni Brooks,SG,23,HOU,32,8,18.3,2.4,6.7,.366,1.8,5.6,.322,0.6,1.0,.606,.502,0.5,0.6,.889,0.3,1.7,2.0,1.5,0.6,0.2,0.5,1.7,7.2
Dillon Brooks,SF,26,MEM,19,18,29.2,7.2,16.8,.425,1.7,5.1,.330,5.5,11.7,.466,.475,3.3,3.7,.887,0.7,2.7,3.4,2.7,1.2,0.1,1.9,3.5,19.3
Bruce Brown,SF,25,BRK,28,17,22.9,3.0,6.3,.469,0.3,1.0,.286,2.7,5.3,.503,.492,0.6,0.8,.810,1.3,3.1,4.4,1.2,1.3,0.4,0.6,2.8,6.8
Charlie Brown Jr.,G,24,DAL,3,0,5.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7
Chaundee Brown Jr.,G-F,23,TOT,5,2,20.8,2.0,6.4,.313,1.2,3.6,.333,0.8,2.8,.286,.406,1.0,1.2,.833,0.2,3.0,3.2,0.8,0.4,0.0,0.2,1.4,6.2
Chaundee Brown Jr.,G-F,23,LAL,2,0,10.5,0.5,3.5,.143,0.0,1.5,.000,0.5,2.0,.250,.143,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0
Chaundee Brown Jr.,G-F,23,ATL,3,2,27.7,3.0,8.3,.360,2.0,5.0,.400,1.0,3.3,.300,.480,1.7,2.0,.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7
Greg Brown III,SF,20,POR,14,0,5.1,0.7,1.9,.370,0.0,0.4,.000,0.7,1.6,.455,.370,0.3,0.8,.364,0.5,0.9,1.4,0.4,0.1,0.3,0.4,0.7,1.7
Jaylen Brown,SF,25,BOS,22,22,33.9,8.2,18.6,.441,2.7,7.6,.351,5.5,11.0,.504,.513,4.0,5.2,.765,0.9,5.0,5.9,2.6,1.2,0.5,3.0,2.8,23.1
Moses Brown,C,22,DAL,21,1,6.7,1.2,2.0,.610,0.0,0.0,,1.2,2.0,.610,.610,1.2,1.9,.667,0.7,1.6,2.3,0.0,0.1,0.3,0.5,1.2,3.6
Sterling Brown,SG,26,DAL,27,3,15.4,1.6,3.9,.404,0.9,2.4,.348,0.7,1.4,.500,.514,0.2,0.2,.833,0.7,3.1,3.9,0.9,0.4,0.1,0.7,1.3,4.1
Troy Brown Jr.,SF,22,CHI,23,1,14.1,1.6,3.9,.416,0.4,1.6,.270,1.2,2.3,.519,.472,0.5,0.7,.750,0.3,2.2,2.5,1.1,0.4,0.0,0.3,0.9,4.2
Jalen Brunson,PG,25,DAL,34,16,30.8,6.4,12.9,.499,1.1,3.3,.342,5.3,9.6,.552,.542,2.3,2.9,.770,0.6,3.2,3.8,5.6,0.8,0.1,1.6,2.0,16.3
Shaq Buchanan,G,25,MEM,2,0,5.0,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0
Reggie Bullock,SF,30,DAL,28,12,24.1,2.2,5.9,.367,1.3,4.4,.287,0.9,1.6,.591,.473,0.4,0.5,.733,0.2,2.6,2.8,0.9,0.3,0.1,0.6,1.4,6.0
Trey Burke,PG,29,DAL,18,0,13.4,2.9,6.6,.437,0.8,2.6,.326,2.1,4.1,.507,.500,0.9,0.9,.941,0.1,1.1,1.2,2.2,0.4,0.0,0.8,1.0,7.5
Alec Burks,SG,30,NYK,35,12,26.8,3.7,9.1,.406,2.1,4.8,.426,1.6,4.3,.383,.519,2.6,3.2,.811,0.5,3.6,4.1,2.3,1.1,0.3,1.0,2.2,12.0
Jared Butler,SG,21,UTA,19,0,4.3,0.6,1.8,.343,0.4,1.1,.333,0.3,0.7,.357,.443,0.2,0.4,.571,0.0,0.6,0.6,0.5,0.2,0.3,0.4,0.8,1.8
Jimmy Butler,SF,32,MIA,21,21,34.0,7.8,15.4,.506,0.4,1.7,.229,7.4,13.8,.540,.519,7.3,8.5,.865,1.8,4.1,5.9,5.5,2.1,0.4,2.0,1.5,23.3
Devontae Cacok,PF,25,SAS,3,0,3.7,1.7,2.3,.714,0.0,0.0,,1.7,2.3,.714,.714,0.0,0.0,,0.7,0.3,1.0,0.3,0.3,0.3,0.3,1.0,3.3
Kentavious Caldwell-Pope,SG,28,WAS,33,33,29.5,4.0,9.6,.412,2.1,5.5,.383,1.9,4.2,.449,.520,1.1,1.2,.878,0.5,3.1,3.6,1.7,1.2,0.4,1.3,1.8,11.1
Facundo Campazzo,PG,30,DEN,33,2,21.5,2.2,5.6,.400,1.3,3.6,.356,1.0,2.0,.478,.514,1.1,1.3,.837,0.4,1.6,2.0,3.8,1.2,0.5,1.2,2.2,6.8
Vlatko Čančar,PF,24,DEN,13,1,10.8,1.7,2.9,.579,0.5,0.9,.583,1.2,2.0,.577,.671,0.7,0.9,.750,0.5,1.3,1.8,0.8,0.2,0.2,0.5,0.8,4.6
Clint Capela,C,27,ATL,33,33,29.9,5.2,9.2,.561,0.0,0.0,.000,5.2,9.2,.563,.561,1.2,2.5,.494,4.3,8.9,13.2,1.5,0.8,1.6,0.6,2.4,11.6
Vernon Carey Jr.,C,20,CHO,2,1,6.0,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.5,0.5,1.000,1.0,0.5,1.5,0.0,0.5,0.0,0.5,0.5,3.5
Jevon Carter,PG,26,BRK,29,1,11.8,0.8,3.0,.273,0.7,2.4,.290,0.1,0.7,.211,.386,0.1,0.1,.750,0.2,1.4,1.6,1.0,0.3,0.3,0.4,1.1,2.4
Wendell Carter Jr.,C,22,ORL,34,34,29.0,4.9,10.0,.493,1.3,3.8,.338,3.6,6.1,.589,.558,1.7,2.4,.728,2.1,8.0,10.1,2.5,0.7,0.7,1.5,2.7,12.9
Alex Caruso,SG,27,CHI,26,9,28.0,2.8,6.3,.448,1.1,3.0,.364,1.7,3.3,.523,.534,1.7,2.0,.830,1.0,2.8,3.7,4.0,2.0,0.3,1.5,2.5,8.4
Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,.457,0.1,0.1,.500,0.8,1.8,.455,.471,0.1,0.1,.500,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
Justin Champagnie,SF,20,TOR,16,0,7.4,0.8,1.9,.419,0.0,0.4,.000,0.8,1.5,.542,.419,0.6,0.6,1.000,0.9,0.6,1.5,0.2,0.1,0.1,0.1,0.9,2.2
Chris Chiozza,PG,26,GSW,17,1,12.1,0.8,2.9,.280,0.6,1.9,.344,0.2,1.1,.167,.390,0.1,0.1,1.000,0.5,0.9,1.4,1.8,0.5,0.0,1.0,1.2,2.4
Marquese Chriss,F,24,DAL,5,0,13.6,3.0,5.0,.600,0.0,0.8,.000,3.0,4.2,.714,.600,0.6,0.8,.750,1.0,4.2,5.2,0.0,0.4,0.6,1.4,3.6,6.6
Josh Christopher,SG,20,HOU,29,2,15.1,2.3,5.1,.450,0.7,2.0,.351,1.6,3.2,.511,.517,1.0,1.2,.800,0.6,1.1,1.7,1.6,0.7,0.1,1.4,1.2,6.3
Gary Clark,F,27,NOP,5,1,13.0,1.0,3.0,.333,1.0,2.8,.357,0.0,0.2,.000,.500,0.2,0.4,.500,0.4,1.6,2.0,0.6,0.4,0.2,0.0,0.0,3.2
Brandon Clarke,PF,25,MEM,23,0,16.1,3.6,5.7,.631,0.1,0.6,.154,3.5,5.1,.684,.638,1.0,1.4,.667,1.6,2.9,4.5,1.3,0.3,0.9,0.5,1.7,8.2
Jordan Clarkson,SG,29,UTA,36,0,25.5,5.5,14.1,.393,2.5,8.2,.307,3.0,5.9,.512,.482,1.5,1.9,.786,0.8,2.8,3.6,2.3,0.7,0.2,1.5,1.7,15.1
Nic Claxton,C,22,BRK,15,9,21.5,3.9,5.9,.659,0.0,0.0,,3.9,5.9,.659,.659,0.9,1.6,.542,1.6,3.7,5.3,0.8,0.4,1.3,0.7,2.3,8.6
Amir Coffey,SG,24,LAC,24,4,15.8,1.5,3.5,.412,0.8,2.3,.364,0.6,1.3,.500,.529,1.2,1.4,.848,0.3,2.2,2.5,1.0,0.3,0.3,0.3,0.8,4.9
John Collins,PF,24,ATL,32,32,32.6,6.6,12.1,.549,1.4,3.2,.427,5.3,8.8,.594,.606,3.0,3.8,.793,1.8,6.1,7.9,2.1,0.7,1.2,1.2,3.0,17.6
Darren Collison,G,34,LAL,3,0,12.3,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.0,0.0,,0.0,1.3,1.3,0.7,0.3,0.0,0.3,1.7,1.3
Mike Conley,PG,34,UTA,32,32,28.2,5.0,10.8,.468,2.4,5.8,.422,2.6,5.0,.522,.581,1.5,1.9,.803,0.5,2.3,2.7,5.3,1.2,0.3,1.7,1.8,14.0
Pat Connaughton,SG,29,MIL,38,15,28.4,4.1,8.4,.484,2.4,6.0,.406,1.6,2.4,.681,.630,0.7,0.9,.788,0.7,4.0,4.7,1.4,1.0,0.3,0.7,1.3,11.3
Tyler Cook,PF,24,CHI,9,0,10.4,1.4,2.2,.650,0.0,0.0,,1.4,2.2,.650,.650,1.6,1.8,.875,0.7,1.7,2.3,0.3,0.3,0.1,0.4,1.6,4.4
Sharife Cooper,PG,20,ATL,8,0,3.8,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.0,0.0,,0.0,0.4,0.4,0.6,0.0,0.0,0.5,0.1,0.5
Petr Cornelie,PF,26,DEN,12,0,3.0,0.4,1.3,.333,0.1,0.7,.125,0.3,0.6,.571,.367,0.1,0.2,.500,0.6,0.5,1.1,0.3,0.1,0.1,0.3,0.6,1.0
DeMarcus Cousins,C,31,MIL,15,5,16.9,3.1,7.0,.448,0.6,2.7,.220,2.5,4.3,.594,.490,1.8,2.2,.818,1.6,4.1,5.7,1.2,0.8,0.5,1.0,2.9,8.7
Robert Covington,PF,31,POR,32,26,27.7,2.5,6.4,.395,1.5,4.6,.331,1.0,1.8,.561,.515,0.1,0.1,1.000,0.7,4.3,5.0,1.2,1.2,1.2,1.0,2.4,6.7
Torrey Craig,SF,31,IND,33,1,15.8,2.1,4.2,.486,0.6,2.0,.288,1.5,2.2,.662,.554,0.6,0.8,.808,1.2,2.2,3.4,1.0,0.4,0.3,0.7,1.7,5.3
