Name,Team,Position,Total Points,Average Points
Damian Lillard,POR,PG,1147,39.6
Buddy Hield,SAC,"SG, SF",1118,25.4
Devonte' Graham,NO,"PG, SG",1007,26.5
Norman Powell,POR,"SG, SF",973,28.6
Ben Simmons,PHI,PG,0,0.0
Kemba Walker,NY,PG,622,25.9
Jalen Green,HOU,SG,541,19.3
P.J. Washington,CHA,"PF, C",649,26.0
Reggie Jackson,LAC,PG,973,25.6
Tim Hardaway,DAL,"SG, SF",897,25.6
Jordan Clarkson,UTAH,SG,955,23.3
Nickeil Alexander-Walker,NO,SG,821,21.6
Keldon Johnson,SA,"SF, PF",929,25.1
Kelly Oubre,CHA,"PF, SF",1107,27.7
Bojan Bogdanovic,UTAH,"PF, SF",1039,25.3
Ivica Zubac,LAC,C,923,24.3
Carmelo Anthony,LAL,"PF, SF",993,24.2
Isaiah Stewart,DET,"C, PF",715,22.3
Mitchell Robinson,NY,C,975,25.7
Chris Boucher,TOR,"C, PF",679,18.9
Bogdan Bogdanovic,ATL,"SG, SF",623,23.1
Evan Fournier,NY,"SG, SF",892,22.3
Michael Porter,DEN,"SF, PF",183,20.3
Collin Sexton,CLE,"SG, PG",222,20.2
Joe Ingles,UTAH,"SF, SG, PF",681,18.4
Lauri Markkanen,CLE,"PF, SF",829,25.1
Aaron Gordon,DEN,"PF, SF",951,26.4
Thaddeus Young,SA,"PF, SF, C",391,17.0
Jonathan Isaac,ORL,"PF, SF",0,0.0
Andre Drummond,PHI,C,842,24.1
Steven Adams,MEM,C,954,23.9
Marvin Bagley,SAC,PF,399,16.6
Daniel Theis,HOU,"C, PF",435,17.4
Malik Beasley,MIN,"SG, SF",824,20.1
Donte DiVincenzo,MIL,"SG, PG",27,6.8
Brook Lopez,MIL,C,28,28.0
Derrick Rose,NY,PG,659,25.3
Hassan Whiteside,UTAH,C,746,20.7
Kevin Love,CLE,PF,897,26.4
Killian Hayes,DET,PG,557,18.6
Kawhi Leonard,LAC,"SF, PF",0,0.0
Joe Harris,BKN,"SG, SF",274,19.6
Alex Caruso,CHI,"PG, SG",693,26.7
T.J. McConnell,IND,PG,596,24.8
Dillon Brooks,MEM,"SG, SF",595,28.3
Ricky Rubio,CLE,PG,1011,29.7
LaMarcus Aldridge,BKN,"PF, C",759,26.2
Marcus Morris,LAC,"PF, SF",548,26.1
Mason Plumlee,CHA,C,772,23.4
Patty Mills,BKN,PG,943,23.6
Jamal Murray,DEN,"PG, SG",0,0.0
Monte Morris,DEN,PG,930,25.8
Alec Burks,NY,"SG, PG",1018,24.8
Thomas Bryant,WSH,C,11,11.0
Dorian Finney-Smith,DAL,"SF, PF",991,24.8
T.J. Warren,IND,SF,0,0.0
Herbert Jones,NO,SF,895,23.6
Kelly Olynyk,DET,"C, PF",270,27.0
Duncan Robinson,MIA,"SG, SF",796,20.9
Chris Duarte,IND,SG,757,22.3
Cameron Johnson,PHX,SF,910,23.3
John Wall,HOU,PG,0,0.0
Hamidou Diallo,DET,SG,734,22.2
Kevin Huerter,ATL,"SG, SF",700,21.2
Pat Connaughton,MIL,"SG, SF",946,23.7
Jae Crowder,PHX,"PF, SF",743,21.9
James Wiseman,GS,C,0,0.0
Terance Mann,LAC,SF,879,21.4
Terrence Ross,ORL,"SG, SF",677,19.9
Blake Griffin,BKN,PF,489,15.8
Alperen Sengun,HOU,C,755,21.6
Talen Horton-Tucker,LAL,"SG, SF",546,21.0
De'Anthony Melton,MEM,"PG, SG",846,24.9
Darius Bazley,OKC,"SF, PF",743,21.2
Grayson Allen,MIL,SG,797,22.1
Kentavious Caldwell-Pope,WSH,"SG, SF",898,23.0
Eric Gordon,HOU,SG,885,24.6
Royce O'Neale,UTAH,"SF, PF",942,24.2
Cam Reddish,NY,"SF, SG",645,19.0
Otto Porter,GS,SF,731,21.5
Lance Stephenson,IND,SF,205,17.1
Victor Oladipo,MIA,SG,0,0.0
De'Andre Hunter,ATL,"SF, PF",197,16.4
Gary Payton,GS,PG,803,21.7
Gary Harris,ORL,SG,702,20.1
Markelle Fultz,ORL,PG,0,0.0
JaVale McGee,PHX,C,760,21.1
Delon Wright,ATL,"SG, PG",497,14.2
Matisse Thybulle,PHI,"SF, SG",639,20.6
Rui Hachimura,WSH,"PF, SF",13,4.3
Cody Martin,CHA,SF,911,24.6
Devin Vassell,SA,"SG, SF",773,23.4
Nicolas Batum,LAC,"SF, SG",519,22.6
Dwight Howard,LAL,C,502,15.7
P.J. Tucker,MIA,"SF, PF",766,21.9
Serge Ibaka,LAC,"C, PF",317,13.8
Danny Green,PHI,"SG, SF",555,19.1
Rajon Rondo,CLE,PG,290,13.8
Isaac Okoro,CLE,SF,487,18.0
Precious Achiuwa,TOR,"PF, C",547,18.9
Lonnie Walker,SA,"SF, SG",723,19.5
Larry Nance,POR,PF,768,20.8
Nassir Little,POR,"SF, PF",743,21.2
Luke Kennard,LAC,SG,783,22.4
Amir Coffey,LAC,SG,402,14.9
Doug McDermott,SA,"SF, PF",453,17.4
Isaiah Roby,OKC,"PF, C",232,12.9
Patrick Williams,CHI,"SF, PF",72,14.4
Max Strus,MIA,SG,582,19.4
Davion Mitchell,SAC,PG,680,17.9
Kevon Looney,GS,PF,768,19.2
Immanuel Quickley,NY,PG,694,18.3
Facundo Campazzo,DEN,PG,771,20.3
Enes Freedom,BOS,C,285,11.4
Nerlens Noel,NY,C,348,19.3
DeMarcus Cousins,MIL,C,350,20.6
Goran Dragic,TOR,PG,90,18.0
Caleb Martin,MIA,"SG, SF",612,19.7
Bol Bol,DEN,C,68,5.2
Danilo Gallinari,ATL,"PF, SF",559,18.0
Andre Iguodala,GS,"SF, SG",430,20.5
Cedi Osman,CLE,SF,650,21.7
Shake Milton,PHI,"PG, SG",559,20.7
Rudy Gay,UTAH,PF,449,18.0
Onyeka Okongwu,ATL,C,194,24.3
DeAndre Jordan,LAL,C,421,15.0
Chuma Okeke,ORL,PF,560,18.1
Garrison Mathews,HOU,"SG, SF",523,20.1
Justin Holiday,IND,"SG, SF",654,18.2
Trey Lyles,DET,PF,615,16.6
Aleksej Pokusevski,OKC,PF,404,11.2
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Jalen Smith,PHX,PF,284,14.9
Dwight Powell,DAL,C,674,16.4
Maxi Kleber,DAL,PF,521,20.0
Jeff Green,DEN,PF,597,16.6
Bismack Biyombo,PHX,C,94,23.5
Jaden McDaniels,MIN,SF,688,18.1
Jordan Nwora,MIL,SF,562,17.0
Furkan Korkmaz,PHI,SG,630,17.5
Obi Toppin,NY,PF,572,15.5
Cameron Payne,PHX,PG,661,18.9
Nemanja Bjelica,GS,PF,603,15.1
Deni Avdija,WSH,SF,793,18.9
Kendrick Nunn,LAL,SG,0,0.0
Moses Brown,DAL,C,144,5.8
Naz Reid,MIN,C,684,18.0
Khem Birch,TOR,C,384,17.5
Dennis Smith,POR,PG,366,16.6
Chimezie Metu,SAC,C,613,21.9
Josh Jackson,DET,"SF, SG",456,14.7
Isaiah Thomas,DAL,PG,54,10.8
Bruce Brown,BKN,SG,590,19.0
Cam Thomas,BKN,SG,350,12.1
Georges Niang,PHI,PF,628,17.4
Terence Davis,SAC,SG,380,15.2
Willy Hernangomez,NO,C,402,18.3
Jonathan Kuminga,GS,"SF, PF",201,7.4
George Hill,MIL,"PG, SG",563,17.1
Gabe Vincent,MIA,PG,612,18.5
Jeremy Lamb,IND,"SG, SF",381,13.1
Dewayne Dedmon,MIA,C,567,16.7
Aaron Wiggins,OKC,SG,329,15.7
Kenyon Martin,HOU,SF,695,17.4
Jaxson Hayes,NO,C,389,13.4
Kenrich Williams,OKC,SF,628,17.4
