Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Kevin Durant," SF,PF",BKN ,Healthy,27.7,5.3,6.7,1.3,1.7,.540,.958,2.0,1.7,3,38.3,7.7,7.0,16.00,2.7
Brandon Ingram," SF,PF",NOR ,Healthy,26.3,4.7,6.3,0.3,0.7,.529,.895,2.7,2.3,3,35.1,5.7,6.3,11.80,2.3
James Harden," PG,SG",BKN ,Healthy,25.7,7.0,12.3,1.7,1.7,.415,.958,3.3,3.7,3,37.9,7.7,4.0,13.00,1.7
Anthony Edwards," SG,SF",MIN ,Healthy,25.7,3.0,5.0,0.7,1.3,.448,1.000,4.3,2.7,3,36.4,4.0,4.3,6.00,2.7
Kyle Kuzma," SF,PF",WAS ,Healthy,25.0,12.3,4.3,0.7,0.0,.617,.647,2.0,3.0,3,36.2,3.7,7.7,5.10,0.7
Dejounte Murray," PG,SG",SAS ,Healthy,25.0,7.7,9.3,0.7,2.3,.448,.750,2.0,2.0,3,35.5,3.0,8.0,5.70,3.3
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,24.3,6.0,7.0,1.3,1.0,.482,.900,1.0,2.7,3,33.8,6.0,7.7,9.80,2.3
LeBron James," PG,SG,SF,PF",LAL ,Healthy,34.5,8.0,6.5,0.5,0.0,.563,.643,3.0,2.0,2,36.2,4.5,10.5,8.30,3.0
D'Angelo Russell," PG,SG",MIN ,Healthy,23.0,3.0,8.7,0.3,0.7,.521,.800,5.0,1.7,3,33.8,1.3,3.3,18.00,4.3
Stephen Curry," PG,SG",GSW ,Healthy,22.3,7.7,6.3,0.0,1.7,.415,.938,2.7,4.0,3,34.8,5.0,4.7,5.30,2.0
RJ Barrett," SG,SF",NYK ,Healthy,31.5,5.0,3.0,0.5,0.0,.595,.857,3.5,1.5,2,35.8,3.0,9.0,5.00,2.0
Nikola Jokic," PF,C",DEN ,Healthy,21.0,13.0,7.0,0.7,0.7,.556,1.000,1.0,3.3,3,32.6,3.3,7.3,6.90,1.3
