Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 19 2021,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Box Score,,17341,
Tue Oct 19 2021,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Box Score,,18997,
Wed Oct 20 2021,7:00p,Indiana Pacers,122,Charlotte Hornets,123,Box Score,,15521,
Wed Oct 20 2021,7:00p,Chicago Bulls,94,Detroit Pistons,88,Box Score,,20088,
Wed Oct 20 2021,7:30p,Boston Celtics,134,New York Knicks,138,Box Score,2OT,19812,
Wed Oct 20 2021,7:30p,Washington Wizards,98,Toronto Raptors,83,Box Score,,19800,
Wed Oct 20 2021,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,Box Score,,15975,
Wed Oct 20 2021,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Box Score,,16079,
Wed Oct 20 2021,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Box Score,,12845,
Wed Oct 20 2021,8:30p,Orlando Magic,97,San Antonio Spurs,123,Box Score,,16697,
Wed Oct 20 2021,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Box Score,,18306,
Wed Oct 20 2021,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Box Score,,17467,
Wed Oct 20 2021,10:00p,Denver Nuggets,110,Phoenix Suns,98,Box Score,,16074,
Thu Oct 21 2021,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,Box Score,,17162,
Thu Oct 21 2021,8:00p,Milwaukee Bucks,95,Miami Heat,137,Box Score,,19600,
Thu Oct 21 2021,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Box Score,,18064,
Fri Oct 22 2021,7:00p,New York Knicks,121,Orlando Magic,96,Box Score,,18846,
Fri Oct 22 2021,7:00p,Indiana Pacers,134,Washington Wizards,135,Box Score,OT,15407,
Fri Oct 22 2021,7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,17116,
Fri Oct 22 2021,7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,19156,
Fri Oct 22 2021,7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,20367,
Fri Oct 22 2021,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,15674,
Fri Oct 22 2021,8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,20995,
Fri Oct 22 2021,9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,19520,
Fri Oct 22 2021,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,18997,
Fri Oct 22 2021,10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,17583,
Sat Oct 23 2021,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,16846,
Sat Oct 23 2021,7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,OT,17147,
Sat Oct 23 2021,7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,19800,
Sat Oct 23 2021,8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,18888,
Sat Oct 23 2021,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,15343,
Sat Oct 23 2021,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,14353,
Sat Oct 23 2021,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,18558,
Sat Oct 23 2021,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,16748,
Sun Oct 24 2021,4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,17732,
Sun Oct 24 2021,7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,16069,
Sun Oct 24 2021,7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,16273,
Sun Oct 24 2021,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,14256,
Sun Oct 24 2021,9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,13876,
Sun Oct 24 2021,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,18997,
Mon Oct 25 2021,7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,OT,17238,
Mon Oct 25 2021,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,10339,
Mon Oct 25 2021,7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,19800,
Mon Oct 25 2021,7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,19600,
Mon Oct 25 2021,7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,14487,
Mon Oct 25 2021,7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,14209,
Mon Oct 25 2021,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,14435,
Mon Oct 25 2021,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,14221,
Mon Oct 25 2021,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,15672,
Tue Oct 26 2021,7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,15218,
Tue Oct 26 2021,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,0,
Tue Oct 26 2021,8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,OT,18354,
Tue Oct 26 2021,8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,19337,
Tue Oct 26 2021,10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,18306,
Wed Oct 27 2021,7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,14082,
Wed Oct 27 2021,7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,,
Wed Oct 27 2021,7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,17732,
Wed Oct 27 2021,7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,19800,
Wed Oct 27 2021,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,15541,
Wed Oct 27 2021,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,17341,
Wed Oct 27 2021,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,15783,
Wed Oct 27 2021,10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,14678,
Wed Oct 27 2021,10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,16241,
Wed Oct 27 2021,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,13276,
Thu Oct 28 2021,7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,13653,
Thu Oct 28 2021,7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Box Score,,20017,
Thu Oct 28 2021,8:00p,Utah Jazz,122,Houston Rockets,91,Box Score,,15858,
Thu Oct 28 2021,8:00p,New York Knicks,104,Chicago Bulls,103,Box Score,,20972,
Thu Oct 28 2021,8:30p,San Antonio Spurs,99,Dallas Mavericks,104,Box Score,,19228,
Thu Oct 28 2021,10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Box Score,OT,18064,
Fri Oct 29 2021,7:00p,Orlando Magic,109,Toronto Raptors,110,Box Score,,19800,
Fri Oct 29 2021,7:30p,Charlotte Hornets,99,Miami Heat,114,Box Score,,19600,
Fri Oct 29 2021,7:30p,Indiana Pacers,98,Brooklyn Nets,105,Box Score,,16139,
Fri Oct 29 2021,8:00p,Sacramento Kings,113,New Orleans Pelicans,109,Box Score,,17507,
Fri Oct 29 2021,10:00p,Dallas Mavericks,75,Denver Nuggets,106,Box Score,,18315,
Fri Oct 29 2021,10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,Box Score,,16510,
Fri Oct 29 2021,10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,Box Score,,18997,
Sat Oct 30 2021,5:00p,Boston Celtics,112,Washington Wizards,115,Box Score,2OT,15813,
Sat Oct 30 2021,7:00p,Orlando Magic,103,Detroit Pistons,110,Box Score,,11423,
Sat Oct 30 2021,7:00p,New York Knicks,123,New Orleans Pelicans,117,Box Score,,16508,
Sat Oct 30 2021,7:30p,Toronto Raptors,97,Indiana Pacers,94,Box Score,,10578,
Sat Oct 30 2021,7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,Box Score,,20031,
Sat Oct 30 2021,8:00p,Utah Jazz,99,Chicago Bulls,107,Box Score,,20668,
Sat Oct 30 2021,8:00p,Miami Heat,129,Memphis Grizzlies,103,Box Score,,15989,
Sat Oct 30 2021,8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,Box Score,,17341,
Sat Oct 30 2021,8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,Box Score,,18064,
