Name,Team,Position,Total Points,Average Points
Robert Williams,BOS,"C, PF",0,0.0
Dillon Brooks,MEM,"SG, SF",188,23.5
Monte Morris,WSH,PG,265,24.1
John Wall,LAC,PG,197,24.6
Steven Adams,MEM,C,263,26.3
Harrison Barnes,SAC,"SF, PF",151,16.8
Jalen Smith,IND,"PF, C",222,22.2
Jaren Jackson,MEM,"PF, C",0,0.0
Jabari Smith,HOU,PF,171,17.1
Malik Beasley,UTAH,SG,231,19.3
Derrick White,BOS,"PG, SG",212,21.2
Montrezl Harrell,PHI,"C, PF",91,9.1
Jonathan Isaac,ORL,"PF, SF",0,0.0
Luguentz Dort,OKC,"SG, SF",234,23.4
Bogdan Bogdanovic,ATL,"SG, SF",0,0.0
Lonzo Ball,CHI,PG,0,0.0
Dennis Schroder,LAL,PG,0,0.0
Lonnie Walker,LAL,"SF, SG",243,27.0
Jaden McDaniels,MIN,SF,251,22.8
James Wiseman,GS,C,137,13.7
Norman Powell,LAC,"SG, SF",167,15.2
Seth Curry,BKN,"SG, PG",19,6.3
De'Andre Hunter,ATL,"SF, PF",201,20.1
Miles Bridges,CHA,"PF, SF",0,0.0
Reggie Jackson,LAC,PG,202,18.4
Bones Hyland,DEN,PG,178,22.3
Isaiah Hartenstein,NY,"C, PF",266,26.6
Cameron Johnson,PHX,"SF, PF",213,26.6
Alex Caruso,CHI,"PG, SG",269,22.4
Mo Bamba,ORL,C,125,12.5
Patrick Beverley,LAL,PG,139,17.4
Santi Aldama,MEM,PF,251,22.8
Onyeka Okongwu,ATL,C,208,20.8
Marvin Bagley,DET,PF,0,0.0
Kevon Looney,GS,"C, PF",246,22.4
Larry Nance,NO,PF,259,25.9
Robert Covington,LAC,"PF, SF",94,13.4
Isaiah Jackson,IND,"PF, C",198,19.8
Markelle Fultz,ORL,PG,0,0.0
Tim Hardaway,DAL,"SG, SF",127,15.9
Rui Hachimura,WSH,"PF, SF",188,17.1
Thomas Bryant,LAL,C,0,0.0
Grant Williams,BOS,PF,203,22.6
Precious Achiuwa,TOR,"PF, C",199,18.1
Darius Bazley,OKC,"SF, PF",220,22.0
Tyus Jones,MEM,PG,236,21.5
Bruce Brown,DEN,SG,239,23.9
Jonathan Kuminga,GS,"PF, SF",59,7.4
Malik Monk,SAC,"SG, SF",220,24.4
Ricky Rubio,CLE,PG,0,0.0
Devonte' Graham,NO,PG,132,13.2
Cam Thomas,BKN,SG,105,17.5
Aleksej Pokusevski,OKC,PF,155,19.4
Patrick Williams,CHI,"PF, SF",211,17.6
Tari Eason,HOU,SF,221,20.1
Jae'Sean Tate,HOU,"SF, PF",61,20.3
Obi Toppin,NY,PF,201,20.1
Cameron Payne,PHX,PG,143,17.9
Chris Duarte,IND,SG,118,13.1
Evan Fournier,NY,"SG, SF",155,15.5
Jose Alvarado,NO,PG,171,17.1
