Name,Position,Team,Injury Status,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Paul George," SF,PF,SG",LAC , DTD ,30.3,5.3,4.3,0.5,1.0,.560,.778,4.0,3.8,4,37.9,5.3,6.5,6.00,3.0
Kevin Durant," SF,PF",BKN ,Healthy,27.5,8.3,7.3,1.8,0.8,.500,.862,1.3,2.3,4,35.9,6.3,8.8,19.50,2.3
Devin Booker," SG,SF,PG",PHO , DTD ,27.3,4.8,5.8,0.8,1.3,.463,.889,2.8,3.3,4,37.3,6.0,6.5,14.80,2.3
DeMar DeRozan," SF,PF,SG",CHI , DTD ,27.0,4.3,4.3,0.8,1.3,.563,.900,0.0,3.0,4,36.4,9.0,9.0,7.40,3.5
Julius Randle," PF,C",NYK , DTD ,25.3,9.5,3.3,0.3,0.0,.516,.808,4.0,4.5,4,35.1,5.3,4.0,2.90,2.5
Donovan Mitchell," PG,SG",CLE , DTD ,33.7,3.7,2.7,0.3,0.7,.600,.875,5.0,3.0,3,38.2,4.7,7.0,2.70,3.0
Lauri Markkanen," PF,C",UTH ,Healthy,25.0,8.3,2.3,1.0,0.5,.559,.958,2.8,1.8,4,31.3,5.8,5.5,7.50,2.0
Desmond Bane," PG,SG,SF",MEM ,Healthy,24.5,5.0,4.3,0.0,0.3,.514,1.000,3.5,1.8,4,33.6,3.0,5.5,12.70,2.3
Ja Morant, PG,MEM ,Healthy,24.3,6.5,7.8,0.3,1.0,.421,.636,2.3,4.0,4,33.3,3.5,7.0,7.70,1.3
Jaylen Brown," SG,SF",BOS ,Healthy,24.3,6.5,2.5,0.0,0.5,.486,.857,2.3,2.8,4,34.9,4.5,6.5,4.00,2.8
Luka Doncic," PG,SG",DAL ,Healthy,31.7,6.7,6.0,1.3,2.7,.455,.758,3.3,3.0,3,36.8,8.3,6.7,2.70,4.0
Brandon Ingram," SF,PF",NOR ,Healthy,23.3,6.3,4.3,1.5,0.3,.449,.778,2.3,2.8,4,36.1,3.5,6.5,10.10,3.0
Anthony Davis," PF,C",LAL , DTD ,22.8,8.3,2.8,1.3,0.3,.571,.739,0.5,1.8,4,33.0,4.3,8.5,8.00,3.5
Shai Gilgeous-Alexander," PG,SG",OKC ,Healthy,30.0,4.0,4.0,2.3,0.7,.516,.880,0.7,2.3,3,38.6,7.3,10.3,7.50,3.3
Zion Williamson, PF,NOR , DTD ,22.5,5.8,3.3,0.3,0.8,.597,.714,0.5,2.8,4,32.5,5.0,8.0,9.10,2.8
OG Anunoby," SF,PF",TOR ,Healthy,22.3,6.8,1.5,0.5,3.5,.486,.750,2.5,2.5,4,38.6,2.3,6.3,4.60,3.5
Fred VanVleet," PG,SG",TOR , DTD ,29.7,3.7,6.3,1.0,2.0,.463,1.000,6.0,1.3,3,36.3,3.0,4.3,17.00,1.7
Devin Vassell," SG,SF",SAS ,Healthy,22.0,3.0,4.0,0.5,0.8,.515,.714,3.8,1.8,4,30.8,1.3,4.8,12.30,1.0
Jordan Clarkson," PG,SG",UTH ,Healthy,22.0,4.5,4.3,0.3,0.3,.500,1.000,3.8,2.5,4,30.7,2.3,4.3,4.80,2.3
RJ Barrett," SG,SF",NYK ,Healthy,21.8,6.0,3.5,0.0,1.3,.460,.731,2.5,3.0,4,35.2,4.8,4.8,7.70,1.8
Keldon Johnson," SF,PF",SAS ,Healthy,21.8,5.8,3.3,0.0,0.5,.456,.632,3.3,3.0,4,35.2,3.0,4.5,2.90,1.5
Karl-Anthony Towns, C,MIN ,Healthy,20.8,10.3,5.5,1.0,0.8,.577,.938,2.0,2.8,4,33.3,3.8,5.5,8.10,4.0
Jalen Brunson," PG,SG",NYK ,Healthy,20.5,4.5,6.8,0.0,0.0,.500,.947,1.0,1.8,4,33.3,4.5,6.5,10.40,1.8
Russell Westbrook, PG,LAL , DTD ,20.3,3.3,7.5,0.5,1.8,.518,.938,2.0,4.3,4,28.8,3.8,5.3,7.70,2.5
